Grouping	Number_Contained_Taxa	Monophyletic	Category	Support	Number_Interfering_Species	Interfering_Species
Acanthocercus	5	False	Polyphyletic	NA	10	Agama_robecchii, Pseudotrapelus_aqabensis, Pseudotrapelus_chlodnickii, Pseudotrapelus_dhofarensis, Pseudotrapelus_jensvindumi, Pseudotrapelus_neumanni, Pseudotrapelus_sinaitus, Xenagama_batillifera, Xenagama_taylori, Xenagama_wilmsi
Acanthosaura	4	True	Monophyletic	100.0	0	
Agama	38	False	Polyphyletic	NA	14	Acanthocercus_adramitanus, Acanthocercus_annectens, Acanthocercus_atricollis, Acanthocercus_cyanogaster, Acanthocercus_yemensis, Pseudotrapelus_aqabensis, Pseudotrapelus_chlodnickii, Pseudotrapelus_dhofarensis, Pseudotrapelus_jensvindumi, Pseudotrapelus_neumanni, Pseudotrapelus_sinaitus, Xenagama_batillifera, Xenagama_taylori, Xenagama_wilmsi
Amblyrhynchus	1	NA	NA	NA	0	
Amphibolurus	2	True	Monophyletic	100.0	0	
Anisolepis	2	True	Monophyletic	100.0	0	
Anolis	324	True	Monophyletic	95.0	0	
Aphaniotis	1	NA	NA	NA	0	
Archaius	1	NA	NA	NA	0	
Basiliscus	4	True	Monophyletic	96.0	0	
Brachylophus	3	True	Monophyletic	100.0	0	
Bradypodion	17	True	Monophyletic	100.0	0	
Bronchocela	5	True	Monophyletic	100.0	0	
Brookesia	28	True	Monophyletic	100.0	0	
Bufoniceps	1	NA	NA	NA	0	
Cachryx	2	True	Monophyletic	100.0	0	
Callisaurus	1	NA	NA	NA	0	
Calotes	15	True	Monophyletic	93.0	0	
Calumma	31	True	Monophyletic	45.0	0	
Ceratophora	5	True	Monophyletic	85.0	0	
Chalarodon	1	NA	NA	NA	0	
Chamaeleo	14	True	Monophyletic	100.0	0	
Chelosania	1	NA	NA	NA	0	
Chlamydosaurus	1	NA	NA	NA	0	
Conolophus	3	True	Monophyletic	100.0	0	
Cophosaurus	1	NA	NA	NA	0	
Cophotis	2	True	Monophyletic	100.0	0	
Coryphophylax	1	NA	NA	NA	0	
Corytophanes	3	True	Monophyletic	100.0	0	
Crotaphytus	9	True	Monophyletic	100.0	0	
Ctenoblepharys	1	NA	NA	NA	0	
Ctenophorus	24	False	Polyphyletic	NA	1	Hypsilurus_godeffroyi
Ctenosaura	13	True	Monophyletic	100.0	0	
Cyclura	8	True	Monophyletic	100.0	0	
Diplolaemus	4	True	Monophyletic	100.0	0	
Diporiphora	16	True	Monophyletic	48.0	0	
Dipsosaurus	1	NA	NA	NA	0	
Draco	34	True	Monophyletic	99.0	0	
Enyalioides	14	False	Polyphyletic	NA	1	Morunasaurus_annularis
Enyalius	9	False	Paraphyletic	NA	4	Anisolepis_grilli, Anisolepis_longicauda, Urostrophus_gallardoi, Urostrophus_vautieri
Eurolophosaurus	3	True	Monophyletic	97.0	0	
Furcifer	21	True	Monophyletic	99.0	0	
Gambelia	3	True	Monophyletic	100.0	0	
Gonocephalus	9	True	Monophyletic	84.0	0	
Gowidon	2	True	Monophyletic	66.0	0	
Holbrookia	5	True	Monophyletic	100.0	0	
Hoplocercus	1	NA	NA	NA	0	
Hydrosaurus	3	True	Monophyletic	100.0	0	
Hypsilurus	5	False	Polyphyletic	NA	70	Amphibolurus_muricatus, Amphibolurus_norrisi, Chelosania_brunnea, Chlamydosaurus_kingii, Ctenophorus_adelaidensis, Ctenophorus_caudicinctus, Ctenophorus_clayi, Ctenophorus_cristatus, Ctenophorus_decresii, Ctenophorus_femoralis, Ctenophorus_fionni, Ctenophorus_fordi, Ctenophorus_gibba, Ctenophorus_isolepis, Ctenophorus_maculatus, Ctenophorus_maculosus, Ctenophorus_mckenziei, Ctenophorus_nuchalis, Ctenophorus_ornatus, Ctenophorus_parviceps, Ctenophorus_pictus, Ctenophorus_reticulatus, Ctenophorus_rubens, Ctenophorus_rufescens, Ctenophorus_salinarum, Ctenophorus_scutulatus, Ctenophorus_tjantjalka, Ctenophorus_vadnappa, Diporiphora_albilabris, Diporiphora_amphiboluroides, Diporiphora_arnhemica, Diporiphora_australis, Diporiphora_bennettii, Diporiphora_bilineata, Diporiphora_lalliae, Diporiphora_linga, Diporiphora_magna, Diporiphora_nobbi, Diporiphora_phaeospinosa, Diporiphora_pindan, Diporiphora_reginae, Diporiphora_superba, Diporiphora_valens, Diporiphora_winneckei, Gowidon_longirostris, Gowidon_temporalis, Intellagama_lesueurii, Lophognathus_burnsi, Lophognathus_gilberti, Lophosaurus_boydii, Lophosaurus_dilophus, Lophosaurus_spinipes, Moloch_horridus, Pogona_barbata, Pogona_henrylawsoni, Pogona_minima, Pogona_minor, Pogona_mitchelli, Pogona_nullarbor, Pogona_vitticeps, Rankinia_diemensis, Tympanocryptis_cephalus, Tympanocryptis_houstoni, Tympanocryptis_intima, Tympanocryptis_lineata, Tympanocryptis_pentalineata, Tympanocryptis_pinguicolla, Tympanocryptis_tetraporophora, Tympanocryptis_uniformis, Tympanocryptis_wilsoni
Iguana	2	True	Monophyletic	100.0	0	
Intellagama	1	NA	NA	NA	0	
